Source,Target
1236160629607673856,@williamsruto
1236160629607673856,@railaodinga
390858566,@williamsruto
390858566,@railaodinga
203825001,@williamsruto
203825001,@railaodinga
1725853778,@williamsruto
1725853778,@railaodinga
1175382081758814208,@williamsruto
1175382081758814208,@railaodinga
1282678871926755328,@williamsruto
1282678871926755328,@railaodinga
1499256028701020160,@williamsruto
1499256028701020160,@railaodinga
3315158973,@williamsruto
3315158973,@railaodinga
1226955518129922048,@williamsruto
1226955518129922048,@railaodinga
2196955977,@williamsruto
2196955977,@railaodinga
1453757015306690560,@williamsruto
1453757015306690560,@railaodinga
1487479680634654720,@williamsruto
101685951,@williamsruto
101685951,@railaodinga
1969017410,@williamsruto
1969017410,@railaodinga
1175382081758814208,@williamsruto
68382599,@williamsruto
68382599,@railaodinga
953279038138781696,@williamsruto
954251091771908096,@williamsruto
1207502099417849856,@williamsruto
1314383330,@williamsruto
390858566,@williamsruto
1422162942305443840,@williamsruto
1285642169869623296,@williamsruto
1236160629607673856,@williamsruto
940289038262693888,@williamsruto
138300043,@williamsruto
1670683963,@williamsruto
784675916140150784,@williamsruto
464866496,@williamsruto
1471475382209679360,@williamsruto
1343862429374160896,@williamsruto
1493484184794537984,@williamsruto
4864764693,@williamsruto
1475159683367411712,@williamsruto
1312673858248417280,@williamsruto
572534585,@williamsruto
1969017410,@williamsruto
773853960222478336,@williamsruto
3301475844,@williamsruto
1499256028701020160,@williamsruto
68382599,@williamsruto
4337965036,@williamsruto
1455521153242513408,@crystalbeautypl
566181766,@musaliamudavadi
566181766,@williamsruto
566181766,@sakajajohnson
2246570950,@musaliamudavadi
2246570950,@williamsruto
2246570950,@sakajajohnson
831473610736926720,@sheilasifuma
1192891412339183616,@williamsruto
1192891412339183616,@railaodinga
1192891412339183616,@citizentvkenya
1264280735164366848,@williamsruto
1264280735164366848,@railaodinga
1264280735164366848,@citizentvkenya
1032962263819411456,@nationafrica
1032962263819411456,@williamsruto
1032962263819411456,@railaodinga
1032962263819411456,@dci_kenya
3677470348,@williamsruto
3677470348,@railaodinga
3677470348,@citizentvkenya
958062854183247872,@williamsruto
958062854183247872,@railaodinga
958062854183247872,@citizentvkenya
1192894938108878848,@williamsruto
1192894938108878848,@railaodinga
1192894938108878848,@citizentvkenya
1437113789082652672,@williamsruto
1437113789082652672,@railaodinga
1437113789082652672,@citizentvkenya
366300522,@williamsruto
366300522,@oleitumbi
1103586017406259200,@williamsruto
